Home Team,Visitor Team,KNN Winner,Decision Tree Winner
Trail Blazers,Wizards,Trail Blazers,Wizards
Trail Blazers,Pistons,Trail Blazers,Pistons
Trail Blazers,Hornets,Trail Blazers,Hornets
Trail Blazers,Cavaliers,Trail Blazers,Cavaliers
Trail Blazers,Warriors,Warriors,Warriors
Kings,Hawks,Kings,Hawks
Kings,Celtics,Kings,Celtics
Kings,Pelicans,Kings,Pelicans
Kings,Bulls,Kings,Bulls
Kings,Mavericks,Kings,Mavericks
Kings,Nuggets,Kings,Nuggets
Kings,Rockets,Kings,Rockets
Kings,Clippers,Kings,Clippers
Kings,Lakers,Kings,Lakers
Kings,Heat,Kings,Heat
Kings,Bucks,Kings,Bucks
Kings,Timberwolves,Kings,Timberwolves
Kings,Nets,Kings,Nets
Kings,Knicks,Kings,Knicks
Kings,Magic,Kings,Magic
Kings,Pacers,Kings,Pacers
Kings,76ers,Kings,76ers
Kings,Suns,Kings,Suns
Kings,Trail Blazers,Kings,Trail Blazers
Kings,Spurs,Spurs,Spurs
Kings,Thunder,Kings,Thunder
Kings,Raptors,Kings,Raptors
Kings,Jazz,Kings,Jazz
Kings,Grizzlies,Kings,Grizzlies
Kings,Wizards,Kings,Wizards
Kings,Pistons,Kings,Pistons
Kings,Hornets,Kings,Hornets
Kings,Cavaliers,Kings,Cavaliers
Kings,Warriors,Kings,Warriors
Spurs,Hawks,Spurs,Hawks
Spurs,Celtics,Spurs,Celtics
Spurs,Pelicans,Spurs,Pelicans
Spurs,Bulls,Spurs,Bulls
Spurs,Mavericks,Spurs,Mavericks
Spurs,Nuggets,Spurs,Nuggets
Spurs,Rockets,Spurs,Rockets
Spurs,Clippers,Spurs,Clippers
Spurs,Lakers,Spurs,Lakers
Spurs,Heat,Spurs,Heat
Spurs,Bucks,Spurs,Bucks
Spurs,Timberwolves,Spurs,Timberwolves
Spurs,Nets,Spurs,Nets
Spurs,Knicks,Spurs,Knicks
Spurs,Magic,Spurs,Magic
Spurs,Pacers,Spurs,Pacers
Spurs,76ers,Spurs,76ers
Spurs,Suns,Spurs,Suns
Spurs,Trail Blazers,Spurs,Trail Blazers
Spurs,Kings,Spurs,Kings
Spurs,Thunder,Spurs,Thunder
Spurs,Raptors,Spurs,Raptors
Spurs,Jazz,Spurs,Jazz
Spurs,Grizzlies,Spurs,Grizzlies
Spurs,Wizards,Spurs,Wizards
Spurs,Pistons,Spurs,Pistons
Spurs,Hornets,Spurs,Hornets
Spurs,Cavaliers,Spurs,Cavaliers
